Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;10.18;10.18;10.18;10.18;200;10.18
29.11.2021;11:25:00-000;10.16;10.16;10.16;10.16;100;10.16
29.11.2021;11:52:00-000;10.15;10.15;10.15;10.15;100;10.15
29.11.2021;12:22:00-000;10.15;10.15;10.15;10.15;100;10.15
29.11.2021;12:53:00-000;10.15;10.15;10.15;10.15;100;10.15
29.11.2021;13:31:00-000;10.15;10.15;10.15;10.15;100;10.15
29.11.2021;14:11:00-000;10.15;10.15;10.15;10.15;116;10.15
29.11.2021;14:49:00-000;10.15;10.15;10.15;10.15;100;10.15
29.11.2021;15:21:00-000;10.15;10.15;10.15;10.15;100;10.15
29.11.2021;15:45:00-000;10.15;10.15;10.15;10.15;100;10.15
29.11.2021;15:52:00-000;10.15;10.15;10.15;10.15;116;10.1486
29.11.2021;15:56:00-000;10.14;10.14;10.14;10.14;112;10.1408
